continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_vaccinations,people_fully_vaccinated,population,hospital_beds_per_thousand,median_age,aged_65_older,aged_70_older,life_expectancy
Europe,Albania,2021-02-02,78127.0,876.0,1380.0,11.0,27487.072,308.199,485.519,3.87,349925.0,3856.0,550.0,1.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-02-09,85336.0,1124.0,1460.0,14.0,30023.382,395.452,513.665,4.926,374604.0,4562.0,1127.0,438.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-02-17,93850.0,775.0,1567.0,12.0,33018.825,272.665,551.311,4.222,402383.0,3901.0,1701.0,611.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-02-18,94651.0,801.0,1582.0,15.0,33300.637,281.812,556.588,5.277,406318.0,3935.0,3049.0,611.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-02-22,99062.0,1153.0,1653.0,17.0,34852.539,405.655,581.568,5.981,421412.0,3258.0,6728.0,655.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-11,131723.0,57.0,2412.0,1.0,46343.513,20.054,848.603,0.352,643271.0,2956.0,622507.0,181586.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-12,131753.0,30.0,2416.0,4.0,46354.067,10.555,850.01,1.407,645978.0,2707.0,632676.0,187921.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-13,131803.0,50.0,2420.0,4.0,46371.659,17.591,851.418,1.407,648574.0,2596.0,638338.0,192936.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-14,131845.0,42.0,2423.0,3.0,46386.435,14.777,852.473,1.055,651538.0,2964.0,653330.0,204759.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-17,131978.0,39.0,2429.0,2.0,46433.228,13.721,854.584,0.704,659439.0,2639.0,680083.0,223103.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-18,132015.0,37.0,2432.0,3.0,46446.246,13.018,855.64,1.055,662608.0,3169.0,688947.0,228756.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-19,132032.0,17.0,2435.0,3.0,46452.227,5.981,856.695,1.055,665659.0,3051.0,697811.0,234409.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-20,132071.0,39.0,2436.0,1.0,46465.948,13.721,857.047,0.352,668752.0,3093.0,703743.0,237660.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-21,132095.0,24.0,2438.0,2.0,46474.392,8.444,857.751,0.704,671919.0,3167.0,708846.0,239677.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-23,132153.0,35.0,2441.0,1.0,46494.798,12.314,858.806,0.352,678293.0,2512.0,716616.0,243776.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-24,132176.0,23.0,2442.0,1.0,46502.89,8.092,859.158,0.352,680313.0,2020.0,725135.0,249898.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-26,132215.0,6.0,2445.0,1.0,46516.611,2.111,860.213,0.352,686370.0,2691.0,748986.0,269197.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-27,132229.0,14.0,2447.0,2.0,46521.536,4.926,860.917,0.704,689507.0,3137.0,759043.0,277255.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-30,132285.0,21.0,2448.0,1.0,46541.239,7.388,861.269,0.352,697739.0,2170.0,772204.0,287042.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-05-31,132297.0,12.0,2449.0,1.0,46545.46,4.222,861.621,0.352,700064.0,2325.0,776461.0,290333.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-06-01,132309.0,12.0,2450.0,1.0,46549.682,4.222,861.973,0.352,703725.0,3661.0,780342.0,293264.0,2842318.0,2.89,38.0,13.188,8.643,78.57
Europe,Albania,2021-06-03,132337.0,22.0,2451.0,0.0,46559.533,7.74,862.324,0.0,710122.0,3340.0,787321.0,297271.0,2842318.0,2.89,38.0,13.188,8.643,78.57
